was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,0.06,True,US,03/13/2014,543,N832AW,PHL,07:00,20191126204308173
False,0.0,False,US,01/31/2014,2111,N757UW,DCA,10:00,20191126204304495
False,0.0,False,US,05/03/2014,601,N654AW,PHX,16:20,20191126204310893
False,0.05,True,US,12/22/2014,2121,N952UW,DCA,16:00,20191126204313403
False,0.0,False,US,12/15/2014,2145,N947UW,LGA,11:00,20191126204313121
True,0.0,False,US,05/05/2014,800,N190UW,CLT,19:10,20191126204310966
False,0.22,True,US,02/18/2014,1938,N750UW,CLT,17:08,20191126204300853
False,0.28,True,US,07/03/2014,2133,N953UW,LGA,06:00,20191126204316958
True,0.0,False,US,07/15/2014,2056,N174US,CLT,12:50,20191126204317532
False,0.0,False,US,08/14/2014,2131,N749US,DCA,21:00,20191126204309907
False,0.23,True,US,04/05/2014,2051,N180US,PHL,06:30,20191126204304777
False,0.0,False,US,09/03/2014,1799,N184US,CLT,14:40,20191126204315338
False,0.0,False,US,10/21/2014,1755,N956UW,PHL,17:00,20191126204302491
False,0.0,False,US,09/03/2014,672,N186US,PHL,07:30,20191126204315328
True,0.0,False,US,06/19/2014,738,N835AW,PHL,17:30,20191126204314599
False,0.0,False,US,10/31/2014,1847,N953UW,PHL,11:30,20191126204303051
False,0.0,False,US,09/15/2014,2125,N763US,DCA,18:00,20191126204315979
False,0.0,False,US,09/23/2014,2033,N961UW,PHL,12:30,20191126204316388
False,0.22,True,US,02/18/2014,2141, ,LGA,09:00,20191126204300876
False,0.0,False,US,01/24/2014,2111,N770UW,DCA,10:00,20191126204304142
False,0.0,False,US,06/30/2014,2125,N803AW,DCA,18:00,20191126204315202
True,0.0,False,US,11/18/2014,510,N669AW,PHX,09:40,20191126204306966
False,0.0,False,US,11/19/2014,2153,N954UW,LGA,15:00,20191126204307079
False,0.0,False,US,03/09/2014,2145,N944UW,LGA,11:00,20191126204307987
True,0.23,True,US,11/14/2014,1875,N112US,CLT,12:50,20191126204306799
False,0.0,False,US,01/31/2014,601,N651AW,PHX,16:20,20191126204304465
False,0.35,True,US,07/05/2014,2053,N154UW,CLT,08:05,20191126204317019
False,0.25,True,US,12/23/2014,529,N667AW,CLT,09:35,20191126204313417
